id,dataset_id,decimallongitude,decimallatitude,date_start,date_mid,date_end,date_year,scientificname,originalscientificname,minimumdepthinmeters,maximumdepthinmeters,depth,coordinateuncertaintyinmeters,flags,dropped,absence,shoredistance,bathymetry,sst,sss,marine,brackish,freshwater,terrestrial,taxonrank,aphiaid,redlist_category,superdomain,domain,kingdom,subkingdom,infrakingdom,phylum,phylum_division,subphylum_subdivision,subphylum,infraphylum,parvphylum,gigaclass,megaclass,superclass,class,subclass,infraclass,subterclass,superorder,order,suborder,infraorder,parvorder,superfamily,family,subfamily,supertribe,tribe,subtribe,genus,subgenus,section,subsection,series,species,subspecies,natio,variety,subvariety,forma,subforma,type,modified,language,license,rightsholder,accessrights,bibliographiccitation,references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,ownerinstitutioncode,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,materialsampleid,occurrenceid,catalognumber,occurrenceremarks,recordnumber,recordedby,recordedbyid,individualcount,organismquantity,organismquantitytype,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,othercatalognumbers,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,eventid,parenteventid,samplingprotocol,samplesizevalue,samplesizeunit,samplingeffort,eventdate,eventtime,startdayofyear,enddayofyear,year,month,day,verbatimeventdate,habitat,fieldnumber,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,county,municipality,locality,verbatimlocality,verbatimelevation,minimumelevationinmeters,maximumelevationinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,geodeticdatum,coordinateprecision,pointradiusspatialfit,footprintwkt,footprintsrs,footprintspatialfit,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identifiedby,identifiedbyid,dateidentified,identificationreferences,identificationremarks,identificationqualifier,identificationverificationstatus,typestatus,taxonid,scientificnameid,acceptednameusageid,parentnameusageid,originalnameusageid,nameaccordingtoid,namepublishedinid,taxonconceptid,acceptednameusage,parentnameusage,originalnameusage,nameaccordingto,namepublishedin,namepublishedinyear,higherclassification,specificepithet,infraspecificepithet,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,nomenclaturalstatus,taxonremarks
ab8bc1e6-d8b8-4368-b7c4-22d46c8d2d2d,72bb39c7-7bb4-435c-affc-1aa66a5b2a5b,-66.849998,-48.799999,269222400000,269222400000,269222400000,1978,Cephalorhynchus commersonii,Cephalorhynchus commersonii,,,,,{NO_DEPTH},0,0,22040,54,8.8,34.26,1,,,0,Species,254976,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,,,Tetrapoda,,Mammalia,Theria,,,,Cetartiodactyla,Cetancodonta,Cetacea,,Odontoceti,Delphinidae,,,,,Cephalorhynchus,,,,,Cephalorhynchus commersonii,,,,,,,,2017-03-31T14:00:00,,,,,"Goodall, R. N. P.; Galeazzi, A. R.; Leatherwood, S.; Miller, K. W.; Cameron, I. S.; Kastelein, R. K. and Sobral, A. P.. 1998. Studies of Commerson's Dolphins, Cephalorhynchus commersonii, off Tierra del Fuego, 1976-1984, with a Review of Information on the Species in the South Atlantic. Rep. Int. Whal. Commn. (special isue 9)",,,,,IWC,CNP-CETACEOS,,,HumanObservation,,,,,urn:catalog:IWC:CNP-CETACEOS:CNP-CETACEOS-232,CNP-CETACEOS-232,,,"Polkinghorn, J. T.",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-07-14,,,,,,,,,,,,,,,,South Atlantic Ocean,,,Argentina,,Santa Cruz,,,Cabo Danoso-Cabo Vigía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:254976,,,,,,,,,,,,,,commersonii,,,,,,,,
7a9ac45d-82de-4112-94c9-11e30e394e61,72bb39c7-7bb4-435c-affc-1aa66a5b2a5b,-68.019997,-53.25,250646400000,250646400000,250646400000,1977,Cephalorhynchus commersonii,Cephalorhynchus commersonii,,,,,{NO_DEPTH},0,0,11897,9,6.56,34.04,1,,,0,Species,254976,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,,,Tetrapoda,,Mammalia,Theria,,,,Cetartiodactyla,Cetancodonta,Cetacea,,Odontoceti,Delphinidae,,,,,Cephalorhynchus,,,,,Cephalorhynchus commersonii,,,,,,,,2017-03-31T14:00:00,,,,,"Goodall, R. N. P.; Galeazzi, A. R.; Leatherwood, S.; Miller, K. W.; Cameron, I. S.; Kastelein, R. K. and Sobral, A. P.. 1998. Studies of Commerson's Dolphins, Cephalorhynchus commersonii, off Tierra del Fuego, 1976-1984, with a Review of Information on the Species in the South Atlantic. Rep. Int. Whal. Commn. (special isue 9)",,,,,IWC,CNP-CETACEOS,,,PreservedSpecimen,,,,,urn:catalog:IWC:CNP-CETACEOS:CNP-CETACEOS-475,CNP-CETACEOS-475,,RNP0627,"Goodall, 1978",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977-12-11,,,,,,,,,,,,,,,,South Atlantic Ocean,,,Argentina,,Tierra del Fuego,,,13 km of San Sebastián,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:254976,,,,,,,,,,,,,,commersonii,,,,,,,,
3d7b9d5b-a08b-4f37-8c59-be30ed27abc1,72bb39c7-7bb4-435c-affc-1aa66a5b2a5b,-64.558411,-42.712715,,,,,Eubalaena australis,Eubalaena australis,,,,,{NO_DEPTH},0,0,22253,136,13.64,35,1,0,0,0,Species,220222,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,,,Tetrapoda,,Mammalia,Theria,,,,Cetartiodactyla,Cetancodonta,Cetacea,,Mysticeti,Balaenidae,,,,,Eubalaena,,,,,Eubalaena australis,,,,,,,,2017-03-31T14:00:00,,,,,"Lanfiutti, M. 2000. Distribución, abundancia y hábitat de la ballena franca austral (Eubalaena australis) en la Península Valdés. Seminario de  Licenciatura en Ciencias Biológicas. Facultad de Ciencias Naturales, Universidad Nacional de la Patagonia San Juan Bosco, Puerto Madryn, Chubut, Argentina. 89 pp.",,,,,UNPSJB,BALLENAS,,,HumanObservation,,,,,urn:catalog:UNPSJB:BALLENAS:BALLENAS-68,BALLENAS-68,Shore sighting in breeding season.,,García,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,9,18,,,,,,,,,,South Atlantic Ocean,,,Argentina,,Chubut,,,In the middle of Golfo Nuevo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:220222,,,,,,,,,,,,,,australis,,,,,,,,
3879baf7-f286-4cd3-ab32-bbde3927b277,72bb39c7-7bb4-435c-affc-1aa66a5b2a5b,-67.699997,-55.299999,,,,,Balaenoptera acutorostrata,Balaenoptera acutorostrata,,,,,{NO_DEPTH},0,0,3627,24,7.06,33.84,1,,,0,Species,137087,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,,,Tetrapoda,,Mammalia,Theria,,,,Cetartiodactyla,Cetancodonta,Cetacea,,Mysticeti,Balaenopteridae,,,,,Balaenoptera,,,,,Balaenoptera acutorostrata,,,,,,,,2017-03-31T14:00:00,,,,,"Chile. Progress report on cetacean research, April 2004 to March 2005, with statistical data for the season 2004/05. Departamento de Mar - Dirección de Medio Ambiente. Ministerio de relaciones exteriores de Chile",,,,,Depto. de Mar,CNP-CETACEOS,,,HumanObservation,,,,,urn:catalog:Depto. de Mar:CNP-CETACEOS:CNP-CETACEOS-1459,CNP-CETACEOS-1459,Dead whale encountered at sea,,"Sernapesca (The National Fishery Service of Chile mantine the details of the files of strandings happened in the country, and determines the use and t",,1,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,4,13,,,,,,,,,,South Pacific Ocean,,,Chile,,XII Región,,,Bahía honda (Navarino),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:137087,,,,,,,,,,,,,,acutorostrata,,,,,,,,
499e41ad-0cc1-4d61-93ed-fb9eb695088d,72bb39c7-7bb4-435c-affc-1aa66a5b2a5b,-64.558411,-42.712715,,,,,Eubalaena australis,Eubalaena australis,,,,,{NO_DEPTH},0,0,22253,136,13.64,35,1,0,0,0,Species,220222,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,,,Tetrapoda,,Mammalia,Theria,,,,Cetartiodactyla,Cetancodonta,Cetacea,,Mysticeti,Balaenidae,,,,,Eubalaena,,,,,Eubalaena australis,,,,,,,,2017-03-31T14:00:00,,,,,"Lanfiutti, M. 2000. Distribución, abundancia y hábitat de la ballena franca austral (Eubalaena australis) en la Península Valdés. Seminario de  Licenciatura en Ciencias Biológicas. Facultad de Ciencias Naturales, Universidad Nacional de la Patagonia San Juan Bosco, Puerto Madryn, Chubut, Argentina. 89 pp.",,,,,UNPSJB,BALLENAS,,,HumanObservation,,,,,urn:catalog:UNPSJB:BALLENAS:BALLENAS-70,BALLENAS-70,Shore sighting in breeding season.,,García,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,10,17,,,,,,,,,,South Atlantic Ocean,,,Argentina,,Chubut,,,In the middle of Golfo Nuevo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:220222,,,,,,,,,,,,,,australis,,,,,,,,
1c9f37f6-6e4c-453e-a145-91f283651a20,72bb39c7-7bb4-435c-affc-1aa66a5b2a5b,-64.558411,-42.712715,,,,,Eubalaena australis,Eubalaena australis,,,,,{NO_DEPTH},0,0,22253,136,13.64,35,1,0,0,0,Species,220222,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,,,Tetrapoda,,Mammalia,Theria,,,,Cetartiodactyla,Cetancodonta,Cetacea,,Mysticeti,Balaenidae,,,,,Eubalaena,,,,,Eubalaena australis,,,,,,,,2017-03-31T14:00:00,,,,,"Lanfiutti, M. 2000. Distribución, abundancia y hábitat de la ballena franca austral (Eubalaena australis) en la Península Valdés. Seminario de  Licenciatura en Ciencias Biológicas. Facultad de Ciencias Naturales, Universidad Nacional de la Patagonia San Juan Bosco, Puerto Madryn, Chubut, Argentina. 89 pp.",,,,,UNPSJB,BALLENAS,,,HumanObservation,,,,,urn:catalog:UNPSJB:BALLENAS:BALLENAS-69,BALLENAS-69,Shore sighting in breeding season.,,García,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,10,6,,,,,,,,,,South Atlantic Ocean,,,Argentina,,Chubut,,,In the middle of Golfo Nuevo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:220222,,,,,,,,,,,,,,australis,,,,,,,,
ec870aed-e310-4507-8af3-85bd9c1e2f31,72bb39c7-7bb4-435c-affc-1aa66a5b2a5b,-64.558411,-42.712715,,,,,Eubalaena australis,Eubalaena australis,,,,,{NO_DEPTH},0,0,22253,136,13.64,35,1,0,0,0,Species,220222,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,,,Tetrapoda,,Mammalia,Theria,,,,Cetartiodactyla,Cetancodonta,Cetacea,,Mysticeti,Balaenidae,,,,,Eubalaena,,,,,Eubalaena australis,,,,,,,,2017-03-31T14:00:00,,,,,"Lanfiutti, M. 2000. Distribución, abundancia y hábitat de la ballena franca austral (Eubalaena australis) en la Península Valdés. Seminario de  Licenciatura en Ciencias Biológicas. Facultad de Ciencias Naturales, Universidad Nacional de la Patagonia San Juan Bosco, Puerto Madryn, Chubut, Argentina. 89 pp.",,,,,UNPSJB,BALLENAS,,,HumanObservation,,,,,urn:catalog:UNPSJB:BALLENAS:BALLENAS-72,BALLENAS-72,Shore sighting in breeding season.,,García,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,11,11,,,,,,,,,,South Atlantic Ocean,,,Argentina,,Chubut,,,In the middle of Golfo Nuevo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:220222,,,,,,,,,,,,,,australis,,,,,,,,
37ca28c0-16d1-4169-832b-43c0669dc4e0,72bb39c7-7bb4-435c-affc-1aa66a5b2a5b,-64.558411,-42.712715,,,,,Eubalaena australis,Eubalaena australis,,,,,{NO_DEPTH},0,0,22253,136,13.64,35,1,0,0,0,Species,220222,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,,,Tetrapoda,,Mammalia,Theria,,,,Cetartiodactyla,Cetancodonta,Cetacea,,Mysticeti,Balaenidae,,,,,Eubalaena,,,,,Eubalaena australis,,,,,,,,2017-03-31T14:00:00,,,,,"Lanfiutti, M. 2000. Distribución, abundancia y hábitat de la ballena franca austral (Eubalaena australis) en la Península Valdés. Seminario de  Licenciatura en Ciencias Biológicas. Facultad de Ciencias Naturales, Universidad Nacional de la Patagonia San Juan Bosco, Puerto Madryn, Chubut, Argentina. 89 pp.",,,,,UNPSJB,BALLENAS,,,HumanObservation,,,,,urn:catalog:UNPSJB:BALLENAS:BALLENAS-71,BALLENAS-71,Shore sighting in breeding season.,,García,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,11,2,,,,,,,,,,South Atlantic Ocean,,,Argentina,,Chubut,,,In the middle of Golfo Nuevo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:220222,,,,,,,,,,,,,,australis,,,,,,,,
282d20f1-2237-4b37-9932-4bee1d95d9f9,72bb39c7-7bb4-435c-affc-1aa66a5b2a5b,-64.666664,-42.716667,,,,,Eubalaena australis,Eubalaena australis,,,,,{NO_DEPTH},0,0,17921,116,13.64,35.01,1,0,0,0,Species,220222,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,,,Tetrapoda,,Mammalia,Theria,,,,Cetartiodactyla,Cetancodonta,Cetacea,,Mysticeti,Balaenidae,,,,,Eubalaena,,,,,Eubalaena australis,,,,,,,,2017-03-31T14:00:00,,,,,"Lanfiutti, M. 2000. Distribución, abundancia y hábitat de la ballena franca austral (Eubalaena australis) en la Península Valdés. Seminario de  Licenciatura en Ciencias Biológicas. Facultad de Ciencias Naturales, Universidad Nacional de la Patagonia San Juan Bosco, Puerto Madryn, Chubut, Argentina. 89 pp.",,,,,UNPSJB,BALLENAS,,,HumanObservation,,,,,urn:catalog:UNPSJB:BALLENAS:BALLENAS-40,BALLENAS-40,Aerial surveys in breeding season,,Payne et al.,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971,,,,,,,,,,,,South Atlantic Ocean,,,Argentina,,Chubut,,,Golfo Nuevo (Puerto Madryn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:220222,,,,,,,,,,,,,,australis,,,,,,,,
ea4fdfe8-4a96-4067-a062-f523cecb5256,72bb39c7-7bb4-435c-affc-1aa66a5b2a5b,-64.333336,-42.333332,,,,,Eubalaena australis,Eubalaena australis,,,,,{NO_DEPTH},0,0,8311,62,13.65,35.5,1,0,0,0,Species,220222,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,,,Tetrapoda,,Mammalia,Theria,,,,Cetartiodactyla,Cetancodonta,Cetacea,,Mysticeti,Balaenidae,,,,,Eubalaena,,,,,Eubalaena australis,,,,,,,,2017-03-31T14:00:00,,,,,"Lanfiutti, M. 2000. Distribución, abundancia y hábitat de la ballena franca austral (Eubalaena australis) en la Península Valdés. Seminario de  Licenciatura en Ciencias Biológicas. Facultad de Ciencias Naturales, Universidad Nacional de la Patagonia San Juan Bosco, Puerto Madryn, Chubut, Argentina. 89 pp.",,,,,UNPSJB,BALLENAS,,,HumanObservation,,,,,urn:catalog:UNPSJB:BALLENAS:BALLENAS-76,BALLENAS-76,Shore sighting in breeding season.,,García,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984,8,26,,,,,,,,,,South Atlantic Ocean,,,Argentina,,Chubut,,,Punta Tehuelche (Golfo San José),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:220222,,,,,,,,,,,,,,australis,,,,,,,,
