id,dataset_id,decimallongitude,decimallatitude,date_start,date_mid,date_end,date_year,scientificname,originalscientificname,minimumdepthinmeters,maximumdepthinmeters,depth,coordinateuncertaintyinmeters,flags,dropped,absence,shoredistance,bathymetry,sst,sss,marine,brackish,freshwater,terrestrial,taxonrank,aphiaid,redlist_category,superdomain,domain,kingdom,subkingdom,infrakingdom,phylum,phylum_division,subphylum_subdivision,subphylum,infraphylum,parvphylum,gigaclass,megaclass,superclass,class,subclass,infraclass,subterclass,superorder,order,suborder,infraorder,parvorder,superfamily,family,subfamily,supertribe,tribe,subtribe,genus,subgenus,section,subsection,series,species,subspecies,natio,variety,subvariety,forma,subforma,type,modified,language,license,rightsholder,accessrights,bibliographiccitation,references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,ownerinstitutioncode,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,materialsampleid,occurrenceid,catalognumber,occurrenceremarks,recordnumber,recordedby,recordedbyid,individualcount,organismquantity,organismquantitytype,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,othercatalognumbers,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,eventid,parenteventid,samplingprotocol,samplesizevalue,samplesizeunit,samplingeffort,eventdate,eventtime,startdayofyear,enddayofyear,year,month,day,verbatimeventdate,habitat,fieldnumber,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,county,municipality,locality,verbatimlocality,verbatimelevation,minimumelevationinmeters,maximumelevationinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,geodeticdatum,coordinateprecision,pointradiusspatialfit,footprintwkt,footprintsrs,footprintspatialfit,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identifiedby,identifiedbyid,dateidentified,identificationreferences,identificationremarks,identificationqualifier,identificationverificationstatus,typestatus,taxonid,scientificnameid,acceptednameusageid,parentnameusageid,originalnameusageid,nameaccordingtoid,namepublishedinid,taxonconceptid,acceptednameusage,parentnameusage,originalnameusage,nameaccordingto,namepublishedin,namepublishedinyear,higherclassification,specificepithet,infraspecificepithet,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,nomenclaturalstatus,taxonremarks
a942a40d-a2e7-49d6-a3cf-13be9fd2dd78,cf30012c-72dd-4a95-8076-d556c5773dfb,-64.166664,-43.366665,,,,,Dipturus flavirostris,Dipturus flavirostris,68,,68.0,,{},0,0,41037,66,12.75,34.84,1,0,0,0,Species,271545,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,Chondrichthyes,,,,Elasmobranchii,Neoselachii,Batoidea,,,Rajiformes,,,,,Rajidae,,,,,Dipturus,,,,,Dipturus flavirostris,,,,,,,,2017-03-31T17:00:00,,,,,,,,,,CENPAT-CONICET,CNP-PECES,,,HumanObservation,,,,,urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-1193,CNP-P-1193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,11,16,,,,,,,,,,,,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:271545,,,,,,,,,,,,,,flavirostris,,,,,,,,
"c5baf202-ba6c-4a95-82c6-3e46ca09c362,cf30012c-72dd-4a95-8076-d556c5773dfb,-60.150002,-54.733334,,,,,Amblyraja doellojuradoi,Amblyraja doellojuradoi,220,,220.0,,{},0,0,211316,193,5.54,34.03,1,0,0,0,Species,271500,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,Chondrichthyes,,,,Elasmobranchii,Neoselachii,Batoidea,,,Rajiformes,,,,,Rajidae,,,,,Amblyraja,,,,,Amblyraja doellojuradoi,,,,,,,,2017-03-31T17:00:00,,,,,,,,,,CENPAT-CONICET,CNP-PECES,,,HumanObservation,,,,,urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-79,CNP-P-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978,5,7,,,,,,,,,,,,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:271500,,,,,,,,,,,,,,doellojuradoi,,,""(Pozzi, 1935)"",,,,,"
f4b0d641-c489-4182-a5ce-774ca1a4d7a8,cf30012c-72dd-4a95-8076-d556c5773dfb,-56.983334,-49,,,,,Dipturus flavirostris,Dipturus flavirostris,109,,109.0,,{},0,0,271392,599,6.81,34.04,1,0,0,0,Species,271545,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,Chondrichthyes,,,,Elasmobranchii,Neoselachii,Batoidea,,,Rajiformes,,,,,Rajidae,,,,,Dipturus,,,,,Dipturus flavirostris,,,,,,,,2017-03-31T17:00:00,,,,,,,,,,CENPAT-CONICET,CNP-PECES,,,HumanObservation,,,,,urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-1190,CNP-P-1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978,5,3,,,,,,,,,,,,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:271545,,,,,,,,,,,,,,flavirostris,,,,,,,,
b3b3a542-a2aa-4317-b2d3-547e4926e062,cf30012c-72dd-4a95-8076-d556c5773dfb,-57.950001,-51.299999,,,,,Dipturus flavirostris,Dipturus flavirostris,185,,185.0,,{DEPTH_EXCEEDS_BATH},0,0,6851,63,7.06,34.04,1,0,0,0,Species,271545,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,Chondrichthyes,,,,Elasmobranchii,Neoselachii,Batoidea,,,Rajiformes,,,,,Rajidae,,,,,Dipturus,,,,,Dipturus flavirostris,,,,,,,,2017-03-31T17:00:00,,,,,,,,,,CENPAT-CONICET,CNP-PECES,,,HumanObservation,,,,,urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-1191,CNP-P-1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978,5,4,,,,,,,,,,,,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:271545,,,,,,,,,,,,,,flavirostris,,,,,,,,
"d329e99c-2457-4d39-8e5f-838bf40f651b,cf30012c-72dd-4a95-8076-d556c5773dfb,-62.466667,-40.900002,,,,,Dipturus flavirostris,Dipturus flavirostris,84,,84.0,,""{DEPTH_EXCEEDS_BATH,ON_LAND}"",0,0,-3498,-14,,,1,0,0,0,Species,271545,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,Chondrichthyes,,,,Elasmobranchii,Neoselachii,Batoidea,,,Rajiformes,,,,,Rajidae,,,,,Dipturus,,,,,Dipturus flavirostris,,,,,,,,2017-03-31T17:00:00,,,,,,,,,,CENPAT-CONICET,CNP-PECES,,,HumanObservation,,,,,urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-1192,CNP-P-1192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,11,15,,,,,,,,,,,,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:271545,,,,,,,,,,,,,,flavirostris,,,,,,,,"
f1f73e25-bc39-4177-9c96-42dc9ea7b2a0,cf30012c-72dd-4a95-8076-d556c5773dfb,-64.199997,-43.533333,,,,,Dipturus flavirostris,Dipturus flavirostris,71,,71.0,,{},0,0,56053,70,12.67,34.83,1,0,0,0,Species,271545,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,Chondrichthyes,,,,Elasmobranchii,Neoselachii,Batoidea,,,Rajiformes,,,,,Rajidae,,,,,Dipturus,,,,,Dipturus flavirostris,,,,,,,,2017-03-31T17:00:00,,,,,,,,,,CENPAT-CONICET,CNP-PECES,,,HumanObservation,,,,,urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-1194,CNP-P-1194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,11,16,,,,,,,,,,,,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:271545,,,,,,,,,,,,,,flavirostris,,,,,,,,
b8761adb-e4e2-4a12-bce1-2a5ede7bf60f,cf30012c-72dd-4a95-8076-d556c5773dfb,-64.01667,-46.299999,,,,,Dipturus flavirostris,Dipturus flavirostris,110,,110.0,,{},0,0,164948,106,10.72,34.36,1,0,0,0,Species,271545,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,Chondrichthyes,,,,Elasmobranchii,Neoselachii,Batoidea,,,Rajiformes,,,,,Rajidae,,,,,Dipturus,,,,,Dipturus flavirostris,,,,,,,,2017-03-31T17:00:00,,,,,,,,,,CENPAT-CONICET,CNP-PECES,,,HumanObservation,,,,,urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-1195,CNP-P-1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,11,17,,,,,,,,,,,,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:271545,,,,,,,,,,,,,,flavirostris,,,,,,,,
8db0e9ab-6d6c-45a9-b9fd-3f3c117dc7c2,cf30012c-72dd-4a95-8076-d556c5773dfb,-64.066666,-46.466667,,,,,Dipturus flavirostris,Dipturus flavirostris,103,,103.0,,{},0,0,151000,106,10.52,34.34,1,0,0,0,Species,271545,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,Chondrichthyes,,,,Elasmobranchii,Neoselachii,Batoidea,,,Rajiformes,,,,,Rajidae,,,,,Dipturus,,,,,Dipturus flavirostris,,,,,,,,2017-03-31T17:00:00,,,,,,,,,,CENPAT-CONICET,CNP-PECES,,,HumanObservation,,,,,urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-1196,CNP-P-1196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,11,17,,,,,,,,,,,,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:271545,,,,,,,,,,,,,,flavirostris,,,,,,,,
c178896c-6ae5-4f69-b1a3-2e0f899d3c75,cf30012c-72dd-4a95-8076-d556c5773dfb,-64.466667,-46.783333,,,,,Dipturus flavirostris,Dipturus flavirostris,121,,121.0,,{},0,0,106905,112,10.15,34.34,1,0,0,0,Species,271545,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,Chondrichthyes,,,,Elasmobranchii,Neoselachii,Batoidea,,,Rajiformes,,,,,Rajidae,,,,,Dipturus,,,,,Dipturus flavirostris,,,,,,,,2017-03-31T17:00:00,,,,,,,,,,CENPAT-CONICET,CNP-PECES,,,HumanObservation,,,,,urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-1197,CNP-P-1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,11,17,,,,,,,,,,,,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:271545,,,,,,,,,,,,,,flavirostris,,,,,,,,
21e41580-bc8a-4573-8563-eebca3549598,cf30012c-72dd-4a95-8076-d556c5773dfb,-63.299999,-48.483334,,,,,Dipturus flavirostris,Dipturus flavirostris,108,,108.0,,{},0,0,189543,164,9,34.09,1,0,0,0,Species,271545,,Biota,,Animalia,,,Chordata,,,Vertebrata,Gnathostomata,Chondrichthyes,,,,Elasmobranchii,Neoselachii,Batoidea,,,Rajiformes,,,,,Rajidae,,,,,Dipturus,,,,,Dipturus flavirostris,,,,,,,,2017-03-31T17:00:00,,,,,,,,,,CENPAT-CONICET,CNP-PECES,,,HumanObservation,,,,,urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-1198,CNP-P-1198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,11,18,,,,,,,,,,,,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:271545,,,,,,,,,,,,,,flavirostris,,,,,,,,
